Index,POSTCODE,CURRENT_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,TRANSACTION_TYPE,ENERGY_CONSUMPTION_CURRENT,TOTAL_FLOOR_AREA,ENERGY_TARIFF,FLOOR_LEVEL,GLAZED_TYPE,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,HOT_WATER_ENERGY_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,WINDOWS_ENERGY_EFF,WALLS_ENERGY_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,MAINHEAT_ENERGY_EFF,MAINHEATC_ENERGY_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,CONSTRUCTION_AGE_BAND,TENURE
7,53.3809,60,1,1,13,440,105,24,0,5,3,5,5,92,1,10,0,3,1,200,4,3,2,92,5,1915,1
12,53.5379,55,1,2,13,324,187,12,0,4,3,6,6,83,4,20,0,4,1,25,2,4,3,83,5,1915,1
14,53.3809,70,1,3,13,152,103,12,0,4,3,4,4,100,3,10,0,4,4,270,4,3,4,100,5,1940,1
15,53.5379,61,1,4,2,280,102,12,0,4,3,5,5,90,4,10,0,4,1,270,4,4,4,90,5,1915,3
16,53.2558,69,3,2,7,204,108,12,0,4,3,5,5,100,4,10,0,4,3,270,4,4,4,100,5,1971,1
17,53.4703,21,3,2,14,334,106,12,0,5,3,5,5,18,1,10,0,3,1,75,3,2,3,18,2,1940,3
28,53.3809,57,3,1,13,210,125,24,0,3,3,5,5,42,3,10,0,3,4,300,5,3,3,42,3,1958,1
29,53.5379,68,1,3,1,233,84,12,0,3,3,4,4,55,4,10,0,3,4,250,4,4,4,55,4,1958,5
32,53.3809,76,1,4,2,159,68,12,0,4,3,3,3,43,4,12,0,4,4,250,4,4,3,43,3,2007,3
34,53.3809,53,1,3,14,318,83,12,0,5,3,4,4,60,1,10,0,3,2,150,4,3,3,60,4,1958,1
42,53.2667,39,1,2,7,248,190,12,0,0,3,7,3,47,1,10,0,1,4,150,4,2,3,47,4,1958,1
44,53.5379,62,1,1,7,292,75,12,0,5,3,4,4,100,4,10,0,3,2,50,2,4,2,100,5,1958,1
49,53.5817,63,1,2,7,275,82,12,0,4,3,5,5,67,4,10,0,4,4,250,4,4,4,67,4,1971,1
58,53.2558,72,1,2,7,175,129,24,0,5,3,7,7,79,4,21,0,3,4,200,4,4,4,79,5,1999,1
62,53.5379,69,1,2,7,193,211,0,0,4,3,7,7,80,4,11,0,4,4,250,4,4,4,80,5,1999,1
65,53.4703,50,1,1,7,281,93,12,0,3,3,5,5,80,2,10,0,3,4,100,3,3,1,80,5,1958,1
67,53.5379,62,1,3,14,278,83,12,0,3,3,7,7,40,4,20,0,3,1,100,3,4,4,40,3,1915,1
68,53.5009,37,1,2,14,303,127,12,0,0,3,5,5,50,3,10,0,1,2,250,4,3,3,50,4,1915,3
80,53.2421,58,3,2,7,324,76,12,0,5,3,4,4,50,4,10,0,3,2,75,3,4,3,50,4,1971,1
90,53.5379,65,3,2,13,234,105,12,0,3,3,4,4,33,4,10,0,3,4,100,3,4,3,33,3,1987,1
